"s"	"Torque"
0.52963200	35.122279
0.53062800	35.118995
0.53162400	35.099293
0.53262000	35.096010
0.53361600	35.076308
0.53461200	35.092726
0.53560800	35.076308
0.53660400	35.082875
0.53760000	35.056606
0.53859600	35.069741
0.53959200	35.059890
0.54058800	35.066457
0.54158400	35.063173
0.54258000	35.059890
0.54357600	35.033620
0.54457200	35.010635
0.54556800	35.017202
0.54656400	35.010635
0.54756000	34.967948
0.54855600	34.981082
0.54955200	34.935111
0.55054800	34.954813
0.55154400	34.938395
0.55254000	34.898991
0.55353600	34.882573
0.55453200	34.892424
0.55552800	34.859587
0.55652400	34.876005
0.55752000	34.826751
0.55851600	34.836602
0.55951200	34.813616
0.56050800	34.787347
0.56150400	34.790631
0.56250000	34.761078
0.56349600	34.738092
0.56449200	34.734809
0.56548800	34.744660
0.56648400	34.708540
0.56748000	34.715107
0.56847600	34.731525
0.56947200	34.685554
0.57046800	34.708540
0.57146400	34.682270
0.57246000	34.692121
0.57345600	34.672419
0.57445200	34.662569
0.57544800	34.629732
0.57644400	34.626448
0.57744000	34.619881
0.57843600	34.600179
0.57943200	34.573910
0.58042800	34.557492
0.58142400	34.554208
0.58242000	34.547641
0.58341600	34.544357
0.58441200	34.511521
0.58540800	34.478684
0.58640400	34.511521
0.58740000	34.534506
0.58839600	34.531223
0.58939200	34.527939
0.59038800	34.564059
0.59138400	34.537790
0.59238000	34.537790
0.59337600	34.521372
0.59437200	34.511521
0.59536800	34.501670
0.59636400	34.514804
0.59736000	34.498386
0.59835600	34.498386
0.59935200	34.462266
0.60034800	34.485252
0.60134400	34.485252
0.60234000	34.468833
0.60333600	34.488535
0.60433200	34.475401
0.60532800	34.472117
0.60632400	34.475401
0.60732000	34.485252
0.60831600	34.495103
0.60931200	34.491819
0.61030800	34.488535
0.61130400	34.478684
0.61230000	34.485252
0.61329600	34.458983
0.61429200	34.442564
0.61528800	34.468833
0.61628400	34.458983
0.61728000	34.481968
0.61827600	34.449132
0.61927200	34.458983
0.62026800	34.475401
0.62126400	34.435997
0.62226000	34.416295
0.62325600	34.419579
0.62425200	34.406444
0.62524800	34.416295
0.62624400	34.406444
0.62724000	34.380175
0.62823600	34.386742
0.62923200	34.380175
0.63022800	34.340771
0.63122400	34.340771
0.63222000	34.337488
0.63321600	34.330920
0.63421200	34.317786
0.63520800	34.337488
0.63620400	34.298084
0.63720000	34.327637
0.63819600	34.275098
0.63919200	34.307935
0.64018800	34.307935
0.64118400	34.261964
0.64218000	34.268531
0.64317600	34.229127
0.64417200	34.215993
0.64516800	34.225844
0.64616400	34.179873
0.64716000	34.176589
0.64815600	34.163454
0.64915200	34.156887
0.65014800	34.127334
0.65114400	34.084647
0.65214000	34.107632
0.65313600	34.058378
0.65413200	34.048527
0.65512800	33.979570
0.65612400	34.009123
0.65712000	34.002556
0.65811600	33.953301
0.65911200	33.920465
0.66010800	33.900763
0.66110400	33.894195
0.66210000	33.890912
0.66309600	33.851508
0.66409200	33.831806
0.66508800	33.821955
0.66608400	33.798970
0.66708000	33.792402
0.66807600	33.805537
0.66907200	33.775984
0.67006800	33.762850
0.67106400	33.743148
0.67206000	33.723446
0.67305600	33.716879
0.67405200	33.703744
0.67504800	33.690609
0.67604400	33.687326
0.67704000	33.647922
0.67803600	33.624937
0.67903200	33.608518
0.68002800	33.598667
0.68102400	33.595384
0.68202000	33.552696
0.68301600	33.539562
0.68401200	33.523144
0.68500800	33.510009
0.68600400	33.477173
0.68700000	33.470605
0.68799600	33.437769
0.68899200	33.431201
0.68998800	33.424634
0.69098400	33.381947
0.69198000	33.349110
0.69297600	33.335976
0.69397200	33.286721
0.69496800	33.283437
0.69596400	33.267019
0.69696000	33.250601
0.69795600	33.234183
0.69895200	33.201346
0.69994800	33.224332
0.70094400	33.211197
0.70194000	33.207914
0.70293600	33.198063
0.70393200	33.211197
0.70492800	33.181644
0.70592400	33.217765
0.70692000	33.224332
0.70791600	33.211197
0.70891200	33.194779
0.70990800	33.191495
0.71090400	33.217765
0.71190000	33.194779
0.71289600	33.188212
0.71389200	33.214481
0.71488800	33.201346
0.71588400	33.181644
0.71688000	33.155375
0.71787600	33.175077
0.71887200	33.168510
0.71986800	33.158659
0.72086400	33.152092
0.72186000	33.148808
0.72285600	33.178361
0.72385200	33.181644
0.72484800	33.181644
0.72584400	33.188212
0.72684000	33.191495
0.72783600	33.181644
0.72883200	33.184928
0.72982800	33.188212
0.73082400	33.198063
0.73182000	33.188212
0.73281600	33.201346
0.73381200	33.191495
0.73480800	33.165226
0.73580400	33.194779
0.73680000	33.181644
0.73779600	33.171793
0.73879200	33.132390
0.73978800	33.142241
0.74078400	33.102837
0.74178000	33.073284
0.74277600	33.073284
0.74377200	33.066717
0.74476800	33.040448
0.74576400	33.024029
0.74676000	32.994477
0.74775600	32.991193
0.74875200	32.981342
0.74974800	32.978058
0.75074400	32.984626
0.75174000	32.961640
0.75273600	32.968207
0.75373200	32.925520
0.75472800	32.928804
0.75572400	32.899251
0.75672000	32.932087
0.75771600	32.882833
0.75871200	32.849996
0.75970800	32.846713
0.76070400	32.827011
0.76170000	32.790891
0.76269600	32.771189
0.76369200	32.784323
0.76468800	32.728501
0.76568400	32.751487
0.76668000	32.735069
0.76767600	32.685814
0.76867200	32.712083
0.76966800	32.666112
0.77066400	32.675963
0.77166000	32.705516
0.77265600	32.675963
0.77365200	32.679247
0.77464800	32.659545
0.77564400	32.672679
0.77664000	32.646410
0.77763600	32.646410
0.77863200	32.623425
0.77962800	32.623425
0.78062400	32.600439
0.78162000	32.577454
0.78261600	32.570886
0.78361200	32.557752
0.78460800	32.554468
0.78560400	32.528199
0.78660000	32.538050
0.78759600	32.511781
0.78859200	32.495363
0.78958800	32.501930
0.79058400	32.482228
0.79158000	32.482228
0.79257600	32.508497
0.79357200	32.498646
0.79456800	32.511781
0.79556400	32.518348
0.79656000	32.515064
0.79755600	32.518348
0.79855200	32.541334
0.79954800	32.531483
0.80054400	32.557752
0.80154000	32.584021
0.80253600	32.574170
0.80353200	32.603723
0.80452800	32.616857
0.80552400	32.633276
0.80652000	32.656261
0.80751600	32.659545
0.80851200	32.682530
0.80950800	32.672679
0.81050400	32.662828
0.81150000	32.666112
0.81249600	32.685814
0.81349200	32.682530
0.81448800	32.698949
0.81548400	32.712083
0.81648000	32.731785
0.81747600	32.748203
0.81847200	32.748203
0.81946800	32.777756
0.82046400	32.777756
0.82146000	32.774472
0.82245600	32.787607
0.82345200	32.807309
0.82444800	32.797458
0.82544400	32.836862
0.82644000	32.846713
0.82743600	32.817160
0.82843200	32.836862
0.82942800	32.804025
0.83042400	32.810592
0.83142000	32.827011
0.83241600	32.813876
0.83341200	32.830294
0.83440800	32.849996
0.83540400	32.817160
0.83640000	32.797458
0.83739600	32.810592
0.83839200	32.804025
0.83938800	32.804025
0.84038400	32.794174
0.84138000	32.800742
0.84237600	32.823727
0.84337200	32.810592
0.84436800	32.781040
0.84536400	32.790891
0.84636000	32.771189
0.84735600	32.744920
0.84835200	32.754771
0.84934800	32.738352
0.85034400	32.735069
0.85134000	32.735069
0.85233600	32.695665
0.85333200	32.669396
0.85432800	32.689098
0.85532400	32.659545
0.85632000	32.656261
0.85731600	32.633276
0.85831200	32.626708
0.85930800	32.607006
0.86030400	32.587305
0.86130000	32.557752
0.86229600	32.557752
0.86329200	32.528199
0.86428800	32.518348
0.86528400	32.475661
0.86628000	32.472377
0.86727600	32.469093
0.86827200	32.455959
0.86926800	32.439541
0.87026400	32.423122
0.87126000	32.439541
0.87225600	32.432973
0.87325200	32.390286
0.87424800	32.396853
0.87524400	32.393569
0.87624000	32.357449
0.87723600	32.350882
0.87823200	32.308195
0.87922800	32.301627
0.88022400	32.278642
0.88122000	32.278642
0.88221600	32.275358
0.88321200	32.268791
0.88420800	32.222820
0.88520400	32.212969
0.88620000	32.255656
0.88719600	32.242522
0.88819200	32.226104
0.88918800	32.203118
0.89018400	32.180133
0.89118000	32.173565
0.89217600	32.153863
0.89317200	32.111176
0.89416800	32.098041
0.89516400	32.094758
0.89616000	32.052070
0.89715600	32.029085
0.89815200	32.019234
0.89914800	31.989681
0.90014400	31.966696
0.90114000	31.956845
0.90213600	31.940426
0.90313200	31.907590
0.90412800	31.920725
0.90512400	31.910874
0.90612000	31.887888
0.90711600	31.838633
0.90811200	31.845201
0.90910800	31.818932
0.91010400	31.776244
0.91110000	31.789379
0.91209600	31.786095
0.91309200	31.786095
0.91408800	31.789379
0.91508400	31.763110
0.91608000	31.772960
0.91707600	31.763110
0.91807200	31.756542
0.91906800	31.772960
0.92006400	31.782811
0.92106000	31.782811
0.92205600	31.789379
0.92305200	31.815648
0.92404800	31.825499
0.92504400	31.818932
0.92604000	31.828782
0.92703600	31.851768
0.92803200	31.848484
0.92902800	31.845201
0.93002400	31.845201
0.93102000	31.868186
0.93201600	31.894455
0.93301200	31.887888
0.93400800	31.884604
0.93500400	31.861619
0.93600000	31.881321
0.93699600	31.881321
0.93799200	31.910874
0.93898800	31.907590
0.93998400	31.904306
0.94098000	31.878037
0.94197600	31.884604
0.94297200	31.874754
0.94396800	31.891172
0.94496400	31.868186
0.94596000	31.851768
0.94695600	31.825499
0.94795200	31.812364
0.94894800	31.789379
0.94994400	31.756542
0.95094000	31.746691
0.95193600	31.723706
0.95293200	31.720422
0.95392800	31.684302
0.95492400	31.628480
0.95592000	31.648182
0.95691600	31.595644
0.95791200	31.562807
0.95890800	31.543105
0.95990400	31.529971
0.96090000	31.497134
0.96189600	31.464298
0.96289200	31.467581
0.96388800	31.418327
0.96488400	31.411759
0.96588000	31.372356
0.96687600	31.362505
0.96787200	31.326385
0.96886800	31.303399
0.96986400	31.296832
0.97086000	31.283697
0.97185600	31.293548
0.97285200	31.260712
0.97384800	31.237726
0.97484400	31.204890
0.97584000	31.188472
0.97683600	31.175337
0.97783200	31.165486
0.97882800	31.132650
0.97982400	31.096530
0.98082000	31.063693
0.98181600	31.021006
0.98281200	31.001304
0.98380800	30.991453
0.98480400	30.965184
0.98580000	30.932347
0.98679600	30.906078
0.98779200	30.896227
0.98878800	30.863391
0.98978400	30.883093
0.99078000	30.883093
0.99177600	30.886376
0.99277200	30.876525
0.99376800	30.892944
0.99476400	30.896227
0.99576000	30.886376
0.99675600	30.879809
0.99775200	30.876525
0.99874800	30.879809
0.99974400	30.892944
1.00074000	30.906078
1.00173600	30.899511
1.00273200	30.902794
1.00372800	30.879809
1.00472400	30.925780
1.00572000	30.853540
1.00671600	30.929064
1.00771200	30.889660
1.00870800	30.919213
1.00970400	30.876525
1.01070000	30.896227
1.01169600	30.909362
1.01269200	30.896227
1.01368800	30.948765
1.01468400	30.935631
1.01568000	30.942198
1.01667600	30.965184
1.01767200	30.932347
1.01866800	30.958616
1.01966400	30.955333
1.02066000	30.991453
1.02165600	30.981602
1.02265200	31.017722
1.02364800	31.024289
1.02464400	31.053842
1.02564000	31.063693
1.02663600	31.043991
1.02763200	31.057126
1.02862800	31.050558
1.02962400	31.089962
1.03062000	31.073544
1.03161600	31.057126
1.03261200	31.093246
1.03360800	31.093246
1.03460400	31.103097
1.03560000	31.060409
1.03659600	31.086679
1.03759200	31.070260
1.03858800	31.080111
1.03958400	31.076828
1.04058000	31.073544
1.04157600	31.037424
1.04257200	31.063693
1.04356800	31.063693
1.04456400	31.021006
1.04556000	31.034140
1.04655600	31.030857
1.04755200	31.017722
1.04854800	31.027573
1.04954400	30.994737
1.05054000	31.014438
1.05153600	31.004587
1.05253200	30.998020
1.05352800	30.994737
1.05452400	30.978318
1.05552000	30.998020
1.05651600	30.942198
1.05751200	30.988169
1.05850800	30.958616
1.05950400	30.952049
1.06050000	30.925780
1.06149600	30.925780
1.06249200	30.879809
1.06348800	30.866674
1.06448400	30.853540
1.06548000	30.827271
1.06647600	30.823987
1.06747200	30.804285
1.06846800	30.774732
1.06946400	30.758314
1.07046000	30.745179
1.07145600	30.755030
1.07245200	30.748463
1.07344800	30.682790
1.07444400	30.699208
1.07544000	30.646670
1.07643600	30.623685
1.07743200	30.584281
1.07842800	30.580997
1.07942400	30.541593
1.08042000	30.538310
1.08141600	30.489055
1.08241200	30.472637
1.08340800	30.426666
1.08440400	30.413531
1.08540000	30.387262
1.08639600	30.374128
1.08739200	30.347858
1.08838800	30.324873
1.08938400	30.262484
1.09038000	30.288753
1.09137600	30.213229
1.09237200	30.232931
1.09336800	30.196811
1.09436400	30.180392
1.09536000	30.173825
1.09635600	30.190243
1.09735200	30.154123
1.09834800	30.160691
1.09934400	30.114720
1.10034000	30.101585
1.10133600	30.098301
1.10233200	30.078599
1.10332800	30.072032
1.10432400	30.081883
1.10532000	30.078599
1.10631600	30.098301
1.10731200	30.101585
1.10830800	30.104869
1.10930400	30.124570
1.11030000	30.111436
1.11129600	30.108152
1.11229200	30.147556
1.11328800	30.124570
1.11428400	30.150840
1.11528000	30.160691
1.11627600	30.154123
1.11727200	30.150840
1.11826800	30.160691
1.11926400	30.177109
1.12026000	30.183676
1.12125600	30.180392
1.12225200	30.203378
1.12324800	30.209945
1.12424400	30.226363
1.12524000	30.193527
1.12623600	30.203378
1.12723200	30.190243
1.12822800	30.173825
1.12922400	30.183676
1.13022000	30.170541
1.13121600	30.124570
1.13221200	30.098301
